lib,Category,C2
SphericalCubature,NumericalMathematics,science computing
ssvd,NumericalMathematics,science computing
statmod,NumericalMathematics,science computing
stinepack,NumericalMathematics,science computing
svd,NumericalMathematics,science computing
geigen,NumericalMathematics,science computing
ktsolve,NumericalMathematics,science computing
QZ,NumericalMathematics,science computing
SparseM,NumericalMathematics,science computing
rARPACK,NumericalMathematics,science computing
fastGHQuad,NumericalMathematics,science computing
RootsExtremaInflections,NumericalMathematics,science computing
optR,NumericalMathematics,science computing
Rserve,NumericalMathematics,science computing
Brobdingnag,NumericalMathematics,science computing
Deriv,NumericalMathematics,science computing
Amelia,OfficialStatistics,science computing
cat,OfficialStatistics,science computing
deducorrect,OfficialStatistics,science computing
editrules,OfficialStatistics,science computing
FFD,OfficialStatistics,science computing
hbsae,OfficialStatistics,science computing
Hmisc,OfficialStatistics,science computing
IC2,OfficialStatistics,science computing
ineq,OfficialStatistics,science computing
JoSAE,OfficialStatistics,science computing
laeken,OfficialStatistics,science computing
lavaan,OfficialStatistics,science computing
lavaan.survey,OfficialStatistics,science computing
lme4,OfficialStatistics,science computing
MatchIt,OfficialStatistics,science computing
memisc,OfficialStatistics,science computing
mi,OfficialStatistics,science computing
mice,OfficialStatistics,science computing
micEcon,OfficialStatistics,science computing
MImix,OfficialStatistics,science computing
missMDA,OfficialStatistics,science computing
mitools,OfficialStatistics,science computing
mix,OfficialStatistics,science computing
nlme,OfficialStatistics,science computing
norm,OfficialStatistics,science computing
odfWeave,OfficialStatistics,science computing
odfWeave.survey,OfficialStatistics,science computing
pan,OfficialStatistics,science computing
pps,OfficialStatistics,science computing
pxR,OfficialStatistics,science computing
reweight,OfficialStatistics,science computing
robCompositions,OfficialStatistics,science computing
rrcovNA,OfficialStatistics,science computing
samplingbook,OfficialStatistics,science computing
SamplingStrata,OfficialStatistics,science computing
samplingVarEst,OfficialStatistics,science computing
SDaA,OfficialStatistics,science computing
SeleMix,OfficialStatistics,science computing
simFrame,OfficialStatistics,science computing
spsurvey,OfficialStatistics,science computing
StatMatch,OfficialStatistics,science computing
stratification,OfficialStatistics,science computing
survey,OfficialStatistics,science computing
tabplot,OfficialStatistics,science computing
TeachingSampling,OfficialStatistics,science computing
treemap,OfficialStatistics,science computing
VIM,OfficialStatistics,science computing
x12,OfficialStatistics,science computing
x12GUI,OfficialStatistics,science computing
yaImpute,OfficialStatistics,science computing
sampling,OfficialStatistics,science computing
SAScii,OfficialStatistics,science computing
sdcMicro,OfficialStatistics,science computing
sdcTable,OfficialStatistics,science computing
foreign,OfficialStatistics,science computing
prevR,OfficialStatistics,science computing
questionr,OfficialStatistics,science computing
sms,OfficialStatistics,science computing
seasonal,OfficialStatistics,science computing
rsae,OfficialStatistics,science computing
MicSim,OfficialStatistics,science computing
CoImp,OfficialStatistics,science computing
rworldmap,OfficialStatistics,science computing
vardpoor,OfficialStatistics,science computing
RecordLinkage,OfficialStatistics,science computing
saeSim,OfficialStatistics,science computing
stringdist,OfficialStatistics,science computing
adagio,Optimization,science computing
alabama,Optimization,science computing
BB,Optimization,science computing
boot,Optimization,science computing
CLSOCP,Optimization,science computing
clue,Optimization,science computing
cmaes,Optimization,science computing
crs,Optimization,science computing
dclone,Optimization,science computing
DEoptim,Optimization,science computing
desirability,Optimization,science computing
dfoptim,Optimization,science computing
genalg,Optimization,science computing
GenSA,Optimization,science computing
glpkAPI,Optimization,science computing
goalprog,Optimization,science computing
gsl,Optimization,science computing
hydroPSO,Optimization,science computing
igraph,Optimization,science computing
kernlab,Optimization,science computing
limSolve,Optimization,science computing
linprog,Optimization,science computing
LowRankQP,Optimization,science computing
lpSolve,Optimization,science computing
lpSolveAPI,Optimization,science computing
maxLik,Optimization,science computing
mcga,Optimization,science computing
mco,Optimization,science computing
minpack.lm,Optimization,science computing
minqa,Optimization,science computing
neldermead,Optimization,science computing
nleqslv,Optimization,science computing
nloptr,Optimization,science computing
optimx,Optimization,science computing
powell,Optimization,science computing
pso,Optimization,science computing
quadprog,Optimization,science computing
quantreg,Optimization,science computing
rcdd,Optimization,science computing
Rcgmin,Optimization,science computing
RcppDE,Optimization,science computing
Rcsdp,Optimization,science computing
rgenoud,Optimization,science computing
Rmalschains,Optimization,science computing
rneos,Optimization,science computing
ROI,Optimization,science computing
Rsolnp,Optimization,science computing
Rsymphony,Optimization,science computing
Rvmmin,Optimization,science computing
sna,Optimization,science computing
soma,Optimization,science computing
subplex,Optimization,science computing
trust,Optimization,science computing
trustOptim,Optimization,science computing
TSP,Optimization,science computing
ucminf,Optimization,science computing
Rglpk,Optimization,science computing
DEoptimR,Optimization,science computing
GA,Optimization,science computing
GrassmannOptim,Optimization,science computing
NMOF,Optimization,science computing
blowtorch,Optimization,science computing
irace,Optimization,science computing
isotone,Optimization,science computing
lbfgs,Optimization,science computing
globalOptTests,Optimization,science computing
RCEIM,Optimization,science computing
optmatch,Optimization,science computing
cec2005benchmark,Optimization,science computing
cec2013,Optimization,science computing
localsolver,Optimization,science computing
cccp,Optimization,science computing
CEoptim,Optimization,science computing
kofnGA,Optimization,science computing
deSolve,Pharmacokinetics,LifeScience
drc,Pharmacokinetics,LifeScience
lattice,Pharmacokinetics,LifeScience
MASS,Pharmacokinetics,LifeScience
nlme,Pharmacokinetics,LifeScience
nlmeODE,Pharmacokinetics,LifeScience
PK,Pharmacokinetics,LifeScience
PKPDmodels,Pharmacokinetics,LifeScience
adephylo,Phylogenetics,LifeScience
ape,Phylogenetics,LifeScience
apTreeshape,Phylogenetics,LifeScience
caper,Phylogenetics,LifeScience
distory,Phylogenetics,LifeScience
diversitree,Phylogenetics,LifeScience
geiger,Phylogenetics,LifeScience
geomorph,Phylogenetics,LifeScience
GUniFrac,Phylogenetics,LifeScience
HMPTrees,Phylogenetics,LifeScience
iteRates,Phylogenetics,LifeScience
MCMCglmm,Phylogenetics,LifeScience
ouch,Phylogenetics,LifeScience
OUwie,Phylogenetics,LifeScience
paleotree,Phylogenetics,LifeScience
paleoTS,Phylogenetics,LifeScience
phangorn,Phylogenetics,LifeScience
phyclust,Phylogenetics,LifeScience
phylobase,Phylogenetics,LifeScience
phyloclim,Phylogenetics,LifeScience
phylotools,Phylogenetics,LifeScience
phytools,Phylogenetics,LifeScience
picante,Phylogenetics,LifeScience
PVR,Phylogenetics,LifeScience
spider,Phylogenetics,LifeScience
SYNCSA,Phylogenetics,LifeScience
TESS,Phylogenetics,LifeScience
treebase,Phylogenetics,LifeScience
TreeSim,Phylogenetics,LifeScience
vegan,Phylogenetics,LifeScience
corHMM,Phylogenetics,LifeScience
DDD,Phylogenetics,LifeScience
evobiR,Phylogenetics,LifeScience
metafor,Phylogenetics,LifeScience
phylolm,Phylogenetics,LifeScience
TreePar,Phylogenetics,LifeScience
adhoc,Phylogenetics,LifeScience
BAMMtools,Phylogenetics,LifeScience
betapart,Phylogenetics,LifeScience
BoSSA,Phylogenetics,LifeScience
dendextend,Phylogenetics,LifeScience
DiscML,Phylogenetics,LifeScience
expands,Phylogenetics,LifeScience
expoTree,Phylogenetics,LifeScience
HyPhy,Phylogenetics,LifeScience
jaatha,Phylogenetics,LifeScience
kdetrees,Phylogenetics,LifeScience
MPSEM,Phylogenetics,LifeScience
mvMORPH,Phylogenetics,LifeScience
outbreaker,Phylogenetics,LifeScience
OutbreakTools,Phylogenetics,LifeScience
pastis,Phylogenetics,LifeScience
PBD,Phylogenetics,LifeScience
PCPS,Phylogenetics,LifeScience
pegas,Phylogenetics,LifeScience
phyloland,Phylogenetics,LifeScience
phyloTop,Phylogenetics,LifeScience
RADami,Phylogenetics,LifeScience
rdryad,Phylogenetics,LifeScience
Reol,Phylogenetics,LifeScience
rphast,Phylogenetics,LifeScience
Rphylip,Phylogenetics,LifeScience
strap,Phylogenetics,LifeScience
surface,Phylogenetics,LifeScience
taxize,Phylogenetics,LifeScience
RNeXML,Phylogenetics,LifeScience
PHYLOGR,Phylogenetics,LifeScience
bayou,Phylogenetics,LifeScience
BioGeoBEARS,Phylogenetics,LifeScience
cati,Phylogenetics,LifeScience
DAMOCLES,Phylogenetics,LifeScience
ggplot2,Phylogenetics,LifeScience
ips,Phylogenetics,LifeScience
pmc,Phylogenetics,LifeScience
SigTree,Phylogenetics,LifeScience
ade4,Psychometrics,LifeScience
anacor,Psychometrics,LifeScience
betareg,Psychometrics,LifeScience
BradleyTerry2,Psychometrics,LifeScience
ca,Psychometrics,LifeScience
cacIRT,Psychometrics,LifeScience
catR,Psychometrics,LifeScience
CDM,Psychometrics,LifeScience
cfa,Psychometrics,LifeScience
classify,Psychometrics,LifeScience
CMC,Psychometrics,LifeScience
cocorresp,Psychometrics,LifeScience
CopyDetect,Psychometrics,LifeScience
CTT,Psychometrics,LifeScience
DAKS,Psychometrics,LifeScience
difR,Psychometrics,LifeScience
e1071,Psychometrics,LifeScience
eba,Psychometrics,LifeScience
ecodist,Psychometrics,LifeScience
equate,Psychometrics,LifeScience
eRm,Psychometrics,LifeScience
EstCRM,Psychometrics,LifeScience
FactoMineR,Psychometrics,LifeScience
FAiR,Psychometrics,LifeScience
fastICA,Psychometrics,LifeScience
fechner,Psychometrics,LifeScience
fwdmsa,Psychometrics,LifeScience
GPArotation,Psychometrics,LifeScience
homals,Psychometrics,LifeScience
irr,Psychometrics,LifeScience
irtoys,Psychometrics,LifeScience
irtrees,Psychometrics,LifeScience
KernSmoothIRT,Psychometrics,LifeScience
kst,Psychometrics,LifeScience
labdsv,Psychometrics,LifeScience
latdiag,Psychometrics,LifeScience
lava,Psychometrics,LifeScience
lava.tobit,Psychometrics,LifeScience
lavaan,Psychometrics,LifeScience
lavaan.survey,Psychometrics,LifeScience
lme4,Psychometrics,LifeScience
lordif,Psychometrics,LifeScience
ltm,Psychometrics,LifeScience
MASS,Psychometrics,LifeScience
MBESS,Psychometrics,LifeScience
mcIRT,Psychometrics,LifeScience
MCMCpack,Psychometrics,LifeScience
mirt,Psychometrics,LifeScience
mixRasch,Psychometrics,LifeScience
MLCM,Psychometrics,LifeScience
MLDS,Psychometrics,LifeScience
modelfree,Psychometrics,LifeScience
mokken,Psychometrics,LifeScience
MplusAutomation,Psychometrics,LifeScience
mpt,Psychometrics,LifeScience
MPTinR,Psychometrics,LifeScience
mRm,Psychometrics,LifeScience
MultiLCIRT,Psychometrics,LifeScience
nFactors,Psychometrics,LifeScience
pathmox,Psychometrics,LifeScience
pcaPP,Psychometrics,LifeScience
pks,Psychometrics,LifeScience
plRasch,Psychometrics,LifeScience
plspm,Psychometrics,LifeScience
poLCA,Psychometrics,LifeScience
polycor,Psychometrics,LifeScience
prefmod,Psychometrics,LifeScience
pscl,Psychometrics,LifeScience
psy,Psychometrics,LifeScience
psych,Psychometrics,LifeScience
psychometric,Psychometrics,LifeScience
psychomix,Psychometrics,LifeScience
psychotools,Psychometrics,LifeScience
psychotree,Psychometrics,LifeScience
psyphy,Psychometrics,LifeScience
PTAk,Psychometrics,LifeScience
qgraph,Psychometrics,LifeScience
QuantPsyc,Psychometrics,LifeScience
randomLCA,Psychometrics,LifeScience
RaschSampler,Psychometrics,LifeScience
REQS,Psychometrics,LifeScience
rpf,Psychometrics,LifeScience
sem,Psychometrics,LifeScience
SEMModComp,Psychometrics,LifeScience
semPLS,Psychometrics,LifeScience
semTools,Psychometrics,LifeScience
SensoMineR,Psychometrics,LifeScience
simsem,Psychometrics,LifeScience
sirt,Psychometrics,LifeScience
smacof,Psychometrics,LifeScience
systemfit,Psychometrics,LifeScience
TripleR,Psychometrics,LifeScience
vegan,Psychometrics,LifeScience
VGAM,Psychometrics,LifeScience
xgobi,Psychometrics,LifeScience
cocor,Psychometrics,LifeScience
cocron,Psychometrics,LifeScience
equateIRT,Psychometrics,LifeScience
ExPosition,Psychometrics,LifeScience
ICC,Psychometrics,LifeScience
MCMCglmm,Psychometrics,LifeScience
mediation,Psychometrics,LifeScience
multiplex,Psychometrics,LifeScience
nlme,Psychometrics,LifeScience
ordinal,Psychometrics,LifeScience
pls,Psychometrics,LifeScience
semPlot,Psychometrics,LifeScience
TAM,Psychometrics,LifeScience
profileR,Psychometrics,LifeScience
DIFlasso,Psychometrics,LifeScience
pcIRT,Psychometrics,LifeScience
TestScorer,Psychometrics,LifeScience
DFIT,Psychometrics,LifeScience
irtProb,Psychometrics,LifeScience
WrightMap,Psychometrics,LifeScience
PP,Psychometrics,LifeScience
mirtCAT,Psychometrics,LifeScience
pairwise,Psychometrics,LifeScience
IRTShiny,Psychometrics,LifeScience
missMDA,Psychometrics,LifeScience
flexmix,Psychometrics,LifeScience
kequate,Psychometrics,LifeScience
SNSequate,Psychometrics,LifeScience
kcirt,Psychometrics,LifeScience
animation,ReproducibleResearch,science computing
apsrtable,ReproducibleResearch,science computing
ascii,ReproducibleResearch,science computing
brew,ReproducibleResearch,science computing
exams,ReproducibleResearch,science computing
Hmisc,ReproducibleResearch,science computing
hwriter,ReproducibleResearch,science computing
knitr,ReproducibleResearch,science computing
markdown,ReproducibleResearch,science computing
memisc,ReproducibleResearch,science computing
odfWeave,ReproducibleResearch,science computing
odfWeave.survey,ReproducibleResearch,science computing
pander,ReproducibleResearch,science computing
quantreg,ReproducibleResearch,science computing
R.cache,ReproducibleResearch,science computing
R.rsp,ReproducibleResearch,science computing
R2HTML,ReproducibleResearch,science computing
r2lh,ReproducibleResearch,science computing
rapport,ReproducibleResearch,science computing
reporttools,ReproducibleResearch,science computing
rms,ReproducibleResearch,science computing
rtf,ReproducibleResearch,science computing
svSweave,ReproducibleResearch,science computing
SweaveListingUtils,ReproducibleResearch,science computing
tables,ReproducibleResearch,science computing
TeachingSampling,ReproducibleResearch,science computing
xtable,ReproducibleResearch,science computing
bibtex,ReproducibleResearch,science computing
sparktex,ReproducibleResearch,science computing
